TYPE,DYN_MassInHalfRad,DM_MassInHalfRad,R_eff,Mass,VelDisp,mangaid
nETGs,11.613,11.331241456213629,0.9508034117301982,11.592833524068476,2.4542348957482654,1-114171
nETGs,10.578,10.214260192933878,0.5556996957050907,10.632786864107077,2.0867156639448825,1-114235
nETGs,11.015,10.625375270446776,0.7795958822542879,11.08854793858918,2.2400497721126476,1-114245
nETGs,10.856,10.684111178837705,0.7919010675629208,10.671379867490616,2.1652443261253107,1-114252
nETGs,11.161,10.702955416352319,0.8151793932875163,11.2760766788139,2.3042750504771283,1-114502
nETGs,11.117,10.658787841539667,0.8048204987518276,11.232166213006824,2.267406418752904,1-114532
nETGs,10.738,10.361185786785732,0.5788689901179177,10.802503968805304,2.2397998184470986,1-114928
nETGs,11.356,11.136266568754982,1.1618174115764437,11.255897564793045,2.2648178230095364,1-115341
nETGs,10.838,10.522997931188597,0.6286960237734669,10.851536540692232,2.1838390370564214,1-115377
nETGs,10.586,10.370316577103527,0.3498617987937865,10.479674716623512,2.249198357391113,1-115386
nETGs,11.103,10.793471889742861,0.7363958555017261,11.11133501302158,2.290034611362518,1-115388
nETGs,11.57,11.434035006270868,0.7470231342956262,11.3004624602671,2.3725438007590705,1-115798
nETGs,11.144,10.836691747366572,0.6765106862124937,11.150188788933587,2.289142835932333,1-115851
nETGs,11.627,11.386853842083086,0.8692902101159709,11.556167155323573,2.3406423775607053,1-116340
nETGs,11.303,11.02121050140234,0.8591379562923851,11.282867418914375,2.353531559077762,1-116908
nETGs,11.281,10.83049756127482,0.8619524254344982,11.391991404983706,2.343605508104172,1-116921
nETGs,10.924,10.532348809614009,0.6597246251655372,10.998937531927101,2.2420442393695508,1-117084
nETGs,10.326,10.15881025331177,0.3096308389610946,10.131538930112475,2.09377178149873,1-117086
nETGs,11.371,11.156145655902826,0.783760894486435,11.263382521169662,2.396548037987132,1-117799
nETGs,10.322,10.009569483837348,0.2844298974931992,10.333108888432472,2.053462604925455,1-117892
nETGs,11.224,10.988227926156236,0.7199929170439118,11.1471721893673,2.396548037987132,1-118358
nETGs,11.256,11.082618734430245,0.6353835456040069,11.074437489202607,2.3571722577230334,1-118940
nETGs,11.456,11.237053848706347,0.8527844772667014,11.354699388171236,2.3267453795653217,1-119212
nETGs,11.073,10.263604570930452,0.7844031670259862,11.300836632416065,2.1577588860468637,1-119640
nETGs,11.129,10.888829598361832,0.904876972478519,11.05819998657423,2.2317243833285163,1-120943
nETGs,11.562,11.426996185247354,0.8635612793591851,11.289837035766357,2.47928731647617,1-121375
nETGs,11.711,11.492313702738238,1.1113296718084527,11.60930270646264,2.4446692309385245,1-121598
nETGs,11.403,11.032328220721311,0.909609707423969,11.463002274007696,2.373095987078727,1-1216
nETGs,11.015,10.420696302513397,0.7968516923082163,11.18847473626327,2.204933522354145,1-121604
nETGs,11.119,10.739226852471395,0.6718206948865192,11.185633594425415,2.361538971269279,1-121607
nETGs,11.574,11.345637599462886,0.9746030924791812,11.486680872715016,2.4168068718229443,1-121851
nETGs,11.628,11.358898768328121,0.9940090708259182,11.593536275871152,2.392169149489736,1-121947
nETGs,10.98,10.654483787493906,0.6798832047895634,11.003179018965376,2.1903316981702914,1-122141
nETGs,11.856,11.822069685764722,0.6288996963703934,11.032978857063165,2.2506639194632436,1-122334
nETGs,11.367,11.04140143428304,0.9446309437215966,11.39025279872473,2.3420276880874717,1-122586
nETGs,11.038,10.818489891630398,0.6321543550919557,10.937558241613807,2.322839272686321,1-122708
nETGs,12.344,12.310096076919402,0.885701097431823,11.520653953215929,2.387567779417189,1-123041
nETGs,12.049,11.985830469084744,0.8652222870350303,11.481551345504503,2.377124042346456,1-123328
nETGs,10.974,10.704132729415385,0.6716368963863598,10.940427146917637,2.2073650374690716,1-131286
nETGs,11.366,11.148398240436203,0.8243222558912872,11.262640600091455,2.4224256763712044,1-134924
nETGs,11.217,10.916714459911365,0.7928105077563931,11.216254266107953,2.3609718837259357,1-135055
nETGs,10.721,9.918012549187479,0.6137365663360639,10.947649989424146,2.1775364999298623,1-135059
nETGs,10.986,10.73575232553005,0.5986813319777675,10.928483562842205,2.2669369111591733,1-135086
nETGs,11.007,10.824443581807591,0.6416708958576323,10.84355729896968,2.231214647962601,1-135091
